50,2,300,1
150,2,200,1
150,2,100,1
150,2,200,1
150,2,300,1
150,2,400,1
150,2,500,1
200,2,100,1
0,2,200,1
0,2,304,1
0,2,400,1
0,2,500,1
200,1,150,1
15,1,150,1
15,1,150,1
15,1,150,1
15,1,150,1
200,1,304,1
15,1,304,1
15,1,304,1
15,1,304,1
15,1,304,1
200,1,450,1
15,1,450,1
15,1,450,1
15,1,450,1
15,1,450,1
200,1,150,1
0,1,450,1
15,1,150,1
0,1,450,1
15,1,150,1
0,1,450,1
15,1,150,1
0,1,450,1
15,1,150,1
0,1,450,1
200,6,0,30
50,6,0,30
50,6,0,30
50,6,0,30
50,6,0,30
600,7,608,30
50,7,608,30
50,7,608,30
50,7,608,30
50,7,608,30
600,3,250,1
0,3,50,1
0,3,450,1
600,4,250,1
0,4,50,1
0,4,450,1
600,5,1,1
0,5,608,1
0,5,300,1
600,1,100,1
0,1,150,1
0,1,200,1
0,1,250,1
0,1,300,1
0,1,350,1
0,1,400,1
0,1,450,1
0,1,500,1
200,1,100,1
0,1,150,1
0,1,200,1
0,1,250,1
0,1,300,1
0,1,350,1
0,1,400,1
0,1,450,1
0,1,500,1
200,1,100,1
0,1,150,1
0,1,200,1
0,1,250,1
0,1,300,1
0,1,350,1
0,1,400,1
0,1,450,1
0,1,500,1
200,1,150,1
15,1,150,1
15,1,150,1
15,1,150,1
15,1,150,1
200,1,304,1
15,1,304,1
15,1,304,1
15,1,304,1
15,1,304,1
200,1,450,1
15,1,450,1
15,1,450,1
15,1,450,1
